RACE,POS D1,QUALI D1,PTS D1,POS D2,QUALI D2,PTS D2,FAST LAP
Brazil,None,1,0,1,3,9,No
San Marino,1,1,9,2,2,6,Prost
Monaco,None,1,0,1,2,9,Senna
Mexico,2,1,6,1,2,9,Prost
Canada,1,1,9,2,2,6,Senna
Detroit,1,1,9,2,4,6,Prost
France,2,2,6,1,1,9,Prost
Great Britain,1,3,9,None,4,0,No
Germany,1,1,9,2,2,6,No
Hungary,1,1,9,2,7,6,Prost
Belgium,1,1,9,2,2,6,No
Italy,None,1,0,None,2,0,No
Portugal,6,2,1,1,1,9,No
Spain,4,1,3,1,2,9,Prost
Japan,1,1,9,2,2,6,Senna
Australia,2,1,6,1,2,9,Prost
